EMPIRE_BM_TECH_1	Black Market Items available at Empire tech level one.	На черном рынке доступны технологии Империи первого уровня.
TEXT_SFX_RHD_CONTROL_POINT_7_MIN	Control Point Victory in 7 minutes	Победа по стратегическим точкам через 7 минут.
TEXT_SFX_RHD_CONTROL_POINT_8_MIN	Control Point Victory in 8 minutes	Победа по стратегическим точкам через 8 минут.
TEXT_SFX_RHD_CONTROL_POINT_9_MIN	Control Point Victory in 9 minutes	Победа по стратегическим точкам через 9 минут.
TEXT_SFX_RHD_CORELLIA	Corellia	Корелия
TEXT_SFX_RHD_CORELLIA_DEATH_STAR	Corellia has been destroyed by the Death Star	Корелия уничтожена Звездой Смерти
TEXT_SFX_RHD_CORRUPTION_1	Removing Corruption	Избавление от коррупции
TEXT_SFX_RHD_CORRUPTION_2	Corruption has been removed	С коррупцией покончено
TEXT_SFX_RHD_CORULAG	Corulag	Корулаг
TEXT_SFX_RHD_CORULAG_DEATH_STAR	Corulag has been destroyed by the Death Star	Корулаг уничтожен Звездой Смерти
TEXT_SFX_RHD_CORUSCANT	Coruscant	Корускант
TEXT_SFX_RHD_CORUSCANT_DEATH_STAR	Coruscant has been destroyed by the Death Star	Корускант уничтожен Звездой Смерти
TEXT_SFX_RHD_CREDITS_GAINED_1	Credits acquired	Средства получены
TEXT_SFX_RHD_CREDIT_CAPACITY_1	Credit capacity reached.	Достигнут максимум средств.
TEXT_SFX_RHD_DAGOBAH	Dagobah	Дагоба
TEXT_SFX_RHD_DAGOBAH_DEATH_STAR	Dagobah has been destroyed by the Death Star	Дагоба уничтожена Звездой Смерти
TEXT_SFX_RHD_DANTOOINE	Dantooine	Дантуин
TEXT_SFX_RHD_DANTOOINE_DEATH_STAR	Dantooine has been destroyed by the Death Star	Дантуин уничтожен Звездой Смерти
TEXT_SFX_RHD_DEATH_STAR_1	The Death Star will be in range in 1 minute	Звезда Смерти войдет в зону обстрела через 1 минуту.
TEXT_SFX_RHD_DEATH_STAR_10	The Death Star will be in range in 10 minutes	Звезда Смерти войдет в зону обстрела через 10 минут.
TEXT_SFX_RHD_DEATH_STAR_15	The Death Star will be in range in 15 minutes	Звезда Смерти войдет в зону обстрела через 15 минут.
TEXT_SFX_RHD_DEATH_STAR_15_SECONDS	The Death Star will be in range in 15 seconds	Звезда Смерти войдет в зону обстрела через 15 секунд.
TEXT_SFX_RHD_DEATH_STAR_2	The Death Star will be in range in 2 minutes	Звезда Смерти войдет в зону обстрела через 2 минуты.
TEXT_SFX_RHD_DEATH_STAR_3	The Death Star will be in range in 3 minutes	Звезда Смерти войдет в зону обстрела через 3 минуты.
TEXT_SFX_RHD_DEATH_STAR_30_SECONDS	The Death Star will be in range in 30 seconds	Звезда Смерти войдет в зону обстрела через 30 секунд.
TEXT_SFX_RHD_DEATH_STAR_4	The Death Star will be in range in 4 minutes	Звезда Смерти войдет в зону обстрела через 4 минуты.
TEXT_SFX_RHD_DEATH_STAR_5	The Death Star will be in range in 5 minutes	Звезда Смерти войдет в зону обстрела через 5 минут.
TEXT_SFX_RHD_DEATH_STAR_5_SECONDS	The Death Star will be in range in 5 seconds	Звезда Смерти войдет в зону обстрела через 5 секунд.
TEXT_SFX_RHD_DEATH_STAR_6	The Death Star will be in range in 6 minutes	Звезда Смерти войдет в зону обстрела через 6 минут.
TEXT_SFX_RHD_DEATH_STAR_7	The Death Star will be in range in 7 minutes	Звезда Смерти войдет в зону обстрела через 7 минут.
TEXT_SFX_RHD_DEATH_STAR_8	The Death Star will be in range in 8 minutes	Звезда Смерти войдет в зону обстрела через 8 минут.
TEXT_SFX_RHD_DEATH_STAR_9	The Death Star will be in range in 9 minutes	Звезда Смерти войдет в зону обстрела через 9 минут.
TEXT_SFX_RHD_DEATH_STAR_APPROACHING_1	Death Star approaching	Приближается Звезда Смерти.
TEXT_SFX_RHD_DEATH_STAR_CLEARED	The Death Star has cleared the planet	Звезда Смерти уничтожила планету.
TEXT_SFX_RHD_DEATH_STAR_HALTED	Death Star construction halted	Строительство Звезды Смерти приостановлено.
TEXT_SFX_RHD_DEATH_STAR_UNDERWAY	Death Star construction underway	Идет строительство Звезды Смерти.
TEXT_SFX_RHD_DEFEATED_1	We have been defeated	Мы разбиты.
TEXT_SFX_RHD_DEFEAT_1	You have been defeated!	Вы потерпели поражение!
TEXT_SFX_RHD_DEFEAT_2	You have lost!	Вы проиграли!
TEXT_SFX_RHD_DURO	Duro	Дуро
TEXT_SFX_RHD_DURO_DEATH_STAR	Duro has been destroyed by the Death Star	Дуро уничтожен Звездой Смерти
TEXT_SFX_RHD_EMPEROR_DEFEATED_1	Emperor Palpatine Defeated!	Император Палпатин побежден!
TEXT_SFX_RHD_EMPEROR_DEFEATED_2	The Emperor has been defeated. Victory is at hand! 	Император побежден. Победа близка!
TEXT_SFX_RHD_EMPEROR_DEFEATED_3	The Emperor has been destroyed. We have won!	Император уничтожен. Мы победили!
TEXT_SFX_RHD_ENDOR	Endor	Эндора
TEXT_SFX_RHD_ENDOR_DEATH_STAR	Endor has been destroyed by the Death Star	Эндора уничтожена Звездой Смерти
TEXT_SFX_RHD_ENEMY_90_PERCENT	The Empire controls 90% of the galaxy: Alliance defeat imminent.	Империя контролирует 90% Галактики: поражение Альянса неминуемо.
TEXT_SFX_RHD_ENEMY_ARENA_DESTROYED_1	Arena destroyed!	Арена уничтожена!
TEXT_SFX_RHD_ENEMY_BASE_SHIELDS_DOWN_1	Base shields down!	Сенсорный узел уничтожен!
TEXT_SFX_RHD_ENEMY_BASE_SHIELDS_DOWN_2	Enemy base shields down	Вражеский энергощит отключен.
TEXT_SFX_RHD_ENEMY_BASE_SHIELDS_UP_1	Enemy base shields up	Вражеский энергощит включен.
TEXT_SFX_RHD_ENEMY_BASE_SHIELD_OFFLINE_1	The enemy base shield is offline	Вражеский энергощит обесточен.
TEXT_SFX_RHD_ENEMY_BASE_SHIELD_PENETRATED_1	We’ve penetrated the enemy base shield	Мы пробили вражеский энергощит
TEXT_SFX_RHD_ENEMY_CANTINA_DESTROYED_1	Cantina destroyed!	Бар уничтожен!
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_10_MIN	Enemy Control Point Victory in 10 minutes	Победа врага по стратегическим точкам через 10 минут.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_15_SEC	Enemy Control Point Victory in 15 seconds	Победа врага по стратегическим точкам через 15 секунд.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_1_MIN	Enemy Control Point Victory in 1 minute	Победа врага по стратегическим точкам через 1 минуту.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_2_MIN	Enemy Control Point Victory in 2 minutes	Победа врага по стратегическим точкам через 2 минуты.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_30_SEC	Enemy Control Point Victory in 30 seconds	Победа врага по стратегическим точкам через 30 секунд.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_3_MIN	Enemy Control Point Victory in 3 minutes	Победа врага по стратегическим точкам через 3 минуты.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_4_MIN	Enemy Control Point Victory in 4 minutes	Победа врага по стратегическим точкам через 4 минуты.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_5_MIN	Enemy Control Point Victory in 5 minutes	Победа врага по стратегическим точкам через 5 минут.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_5_SEC	Enemy Control Point Victory in 5 seconds	Победа врага по стратегическим точкам через 5 секунд.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_6_MIN	Enemy Control Point Victory in 6 minutes	Победа врага по стратегическим точкам через 6 минут.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_7_MIN	Enemy Control Point Victory in 7 minutes	Победа врага по стратегическим точкам через 7 минут.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_8_MIN	Enemy Control Point Victory in 8 minutes	Победа врага по стратегическим точкам через 8 минут.
TEXT_SFX_RHD_ENEMY_CONTROL_POINT_9_MIN	Enemy Control Point Victory in 9 minutes	Победа врага по стратегическим точкам через 9 минут.
TEXT_SFX_RHD_ENEMY_FLEEING_1	The Empire is fleeing	Имперцы бегут!
TEXT_SFX_RHD_ENEMY_FLEEING_2	The enemy is fleeing	Враг бежит.
TEXT_SFX_RHD_ENEMY_FLEEING_3	The enemy is retreating	Враг отступает.
TEXT_SFX_RHD_ENEMY_FLEET_1	Imperial fleet approaching	Приближается имперский флот.
TEXT_SFX_RHD_ENEMY_FLEET_APPROACH_1	Enemy Fleet Approaching	Приближается вражеский флот.
TEXT_SFX_RHD_ENEMY_GAIN_TECH_LEVEL_1	The Empire has advanced their tech level	Технологический уровень Империи повысился.
TEXT_SFX_RHD_ENEMY_GRAVITY_GENERATOR_DESTROYED_1	Gravity control generator destroyed!	Генератор гравитации уничтожен!
TEXT_SFX_RHD_ENEMY_HERO_DETECTED_1	Enemy Hero Detected	Обнаружен вражеский герой.
TEXT_SFX_RHD_ENEMY_HERO_ELIMINATED_1	Enemy Hero Eliminated	Вражеский герой уничтожен.
TEXT_SFX_RHD_ENEMY_HUTT_PALACE_DESTROYED_1	Hutt Palace destroyed!	Дворец хатта уничтожен
TEXT_SFX_RHD_ENEMY_HYPERVELOCITY_DESTROYED_1	Hypervelocity gun destroyed!	Гиперскоростная пушка уничтожена!
TEXT_SFX_RHD_ENEMY_INFILTRATOR_FACILITY_DESTROYED_1	Infiltrator facility destroyed!	Школа диверсантов уничтожена!
TEXT_SFX_RHD_ENEMY_ION_CANNON_DESTROYED_1	Ion Cannon destroyed!	Ионная пушка уничтожена!
TEXT_SFX_RHD_ENEMY_JAMMING_STATION_DESTROYED_1	Jamming station destroyed!	Глушитель сигналов уничтожен!
TEXT_SFX_RHD_ENEMY_MAGNEPULSE_DESTROYED_1	Magnepulse cannon destroyed!	Магнитоимпульсная пушка уничтожена!
TEXT_SFX_RHD_ENEMY_MINING_DESTROYED_1	Mining facility destroyed!	Горнодобывающий завод уничтожен!
TEXT_SFX_RHD_ENEMY_ONE_PLANET	The Empire requires control of only one planet to achieve victory.	Империи осталось завоевать еще одну планету для окончательной победы.
TEXT_SFX_RHD_ENEMY_PLANETARY_SHIELDS_DOWN_1	Planetary shield down!	Турболазерная башня уничтожена!
TEXT_SFX_RHD_ENEMY_PLANETARY_SHIELD_DESTROYED_1	Planetary Shield generator destroyed!	Сканер дальнего обзора уничтожен!
TEXT_SFX_RHD_ENEMY_POWER_GENERATOR_DESTROYED_1	Power generator destroyed!	Магнитоимпульсная пушка уничтожена!
TEXT_SFX_RHD_ENEMY_SCANNER_DESTROYED_1	Long range scanner destroyed!	Сканер дальнего обзора уничтожен!
TEXT_SFX_RHD_ENEMY_SENSOR_NODE_DESTROYED_1	Sensor node destroyed!	Сенсорный узел уничтожен!
TEXT_SFX_RHD_ENEMY_SHIELD_GENERATOR_DESTROYED_1	Base shield generator destroyed!	Генератор энергощита базы уничтожен!
TEXT_SFX_RHD_ENEMY_SIGHTED_1	Enemy Sighted	Замечен противник.
TEXT_SFX_RHD_ENEMY_SPACE_STATION_UPGRADED_1	Enemy Space Station has been upgraded	Вражеская космическая станция улучшена.
TEXT_SFX_RHD_ENEMY_SPEEDER_DESTROYED_1	Enemy speeder destroyed	Вражеский глиссер уничтожен.
TEXT_SFX_RHD_ENEMY_STARBASE_UPGRADED_1	Enemy Starbase has been upgraded	Вражеская космобаза улучшена.
TEXT_SFX_RHD_ENEMY_STRUCTURE_DESTROYED_1	Enemy structure destroyed!	Вражеское здание уничтожено!
TEXT_SFX_RHD_ENEMY_TANK_DESTROYED_1	Enemy tank destroyed	Вражеский танк уничтожен
TEXT_SFX_RHD_ENEMY_TECH_UPGRADE_1	Enemy Technology has been upgraded	Враг повысил технологический уровень.
TEXT_SFX_RHD_ENEMY_TECH_UPGRADE_2	Enemy Tech upgraded	Вражеское техника улучшена.
TEXT_SFX_RHD_ENEMY_TECH_UPGRADE_3	Enemy Technology Upgraded	Вражеская технология улучшена.
TEXT_SFX_RHD_ENEMY_TRANSPORT_DESTROYED_1	Enemy transport destroyed!	Вражеский транспорт уничтожен!
TEXT_SFX_RHD_ENEMY_TRANSPORT_LOST_1	Transport lost!	Транспорт погиб!
TEXT_SFX_RHD_ENEMY_TURBO_TOWER_DESTROYED_1	Turbolaser tower destroyed!	Турболазерная башня уничтожена!
TEXT_SFX_RHD_ENEMY_UNIT_DESTROYED_1	Enemy unit destroyed	Вражеский отряд уничтожен.
TEXT_SFX_RHD_ENEMY_WALKER_1	Imperial walkers approaching	Приближаются имперские шагоходы.
TEXT_SFX_RHD_ENEMY_WALKER_2	Imperial walker approaching	Приближается имперский шагоход.
TEXT_SFX_RHD_ENEMY_WALKER_DESTROYED_1	Enemy walker destroyed	Вражеский шагоход уничтожен
TEXT_SFX_RHD_ERIADU	Eriadu	Эриаду
TEXT_SFX_RHD_ERIADU_DEATH_STAR	Eriadu has been destroyed by the Death Star	Эриаду уничтожен Звездой Смерти
TEXT_SFX_RHD_FIRE_WHEN_READY_1	You may fire when ready	Разрешаю стрельбу по готовности.
TEXT_SFX_RHD_FLEET_ARRIVAL_1	Fleet exiting hyperspace	Флот выходит из гиперпространства.
TEXT_SFX_RHD_FONDOR	Fondor	Фондор
TEXT_SFX_RHD_FONDOR_DEATH_STAR	Fondor has been destroyed by the Death Star	Фондор уничтожен Звездой Смерти
TEXT_SFX_RHD_FRESIA	Fresia	Фрезия
TEXT_SFX_RHD_FRESIA_DEATH_STAR	Fresia has been destroyed by the Death Star	Фрезия уничтожена Звездой Смерти
TEXT_SFX_RHD_GAIN_TECH_LEVEL_1	The Alliance has advanced their tech level	Технологический уровень Альянса повысился.
TEXT_SFX_RHD_GAMORR	Gamorr	Гамор
TEXT_SFX_RHD_GAMORR_DEATH_STAR	Gamorr has been destroyed by the Death Star	Гамор уничтожен Звездой Смерти
TEXT_SFX_RHD_GEONOSIS	Geonosis	Геонозис
TEXT_SFX_RHD_GEONOSIS_DEATH_STAR	Geonosis has been destroyed by the Death Star	Геонозис уничтожен Звездой Смерти
TEXT_SFX_RHD_HAPES	Hapes	Хейпес
TEXT_SFX_RHD_HAPES_DEATH_STAR	Hapes has been destroyed by the Death Star	Хейпес уничтожен Звездой Смерти
TEXT_SFX_RHD_HEAVY_FACTORY_DESTROYED_1	Heavy vehicle factory destroyed	Завод тяжелой техники уничтожен.
TEXT_SFX_RHD_HEAVY_FACTORY_ONLINE_1	Heavy Vehicle factory online	Завод тяжелой техники работает.
TEXT_SFX_RHD_HEAVY_VEHICLE_FACTORY_DESTROYED_1	Heavy Vehicle Factory destroyed	Завод тяжелой техники уничтожен.
TEXT_SFX_RHD_HEAVY_VEHICLE_FACTORY_UNDER_ATTACK_1	The Heavy Vehicle Factory is under attack	Завод тяжелой техники атакован.
TEXT_SFX_RHD_HERO_ELIMINATED_1	Hero eliminated	Герой уничтожен.
TEXT_SFX_RHD_HERO_LOST_1	Hero lost	Герой погиб.
TEXT_SFX_RHD_HOTH	Hoth	Хот
TEXT_SFX_RHD_HOTH_DEATH_STAR	Hoth has been destroyed by the Death Star	Хот уничтожен Звездой Смерти
TEXT_SFX_RHD_HUTT_PALACE_DESTROYED_1	Hutt Palace destroyed	Дворец хатта уничтожен
TEXT_SFX_RHD_HUTT_PALACE_SOLD_1	The Hutt Palace has been sold.	Энергостанция уничтожена!
TEXT_SFX_RHD_HUTT_PALACE_UNDER_ATTACK_1	The Hutt Palace is under attack	Дворец хатта атакован.
TEXT_SFX_RHD_HYPERVELOCITY_AVAILABLE_1	Hypervelocity Gun Available	Доступна гиперскоростная пушка.
TEXT_SFX_RHD_HYPERVELOCITY_DESTROYED_1	Hypervelocity gun destroyed	Гиперскоростная пушка уничтожена.
TEXT_SFX_RHD_HYPERVELOCITY_SOLD_1	The Hypervelocity Gun has been sold.	Дворец хатта продан.
